game_date,season,home_team,away_team,home_score,away_score,winner,status,venue,doubleheader,source,collected_at
2024-03-23,2024,KIA,키움,7.0,5.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-23,2024,KT,삼성,2.0,6.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-23,2024,LG,한화,8.0,2.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-23,2024,NC,두산,4.0,3.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-23,2024,SSG,롯데,5.0,3.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-24,2024,KIA,키움,,,미정,예정,,N,KBO,2026-05-05 13:29:00
2024-03-24,2024,KT,삼성,8.0,11.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-24,2024,LG,한화,4.0,8.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-24,2024,NC,두산,3.0,6.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-24,2024,SSG,롯데,7.0,6.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-26,2024,KIA,롯데,2.0,1.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-26,2024,KT,두산,5.0,8.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-26,2024,LG,삼성,4.0,3.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-26,2024,NC,키움,10.0,5.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-26,2024,SSG,한화,0.0,6.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-27,2024,KIA,롯데,8.0,2.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-27,2024,KT,두산,8.0,11.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-27,2024,LG,삼성,,,미정,예정,,N,KBO,2026-05-05 13:29:00
2024-03-27,2024,NC,키움,6.0,2.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-27,2024,SSG,한화,1.0,3.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-28,2024,KIA,롯데,,,미정,예정,,N,KBO,2026-05-05 13:29:00
2024-03-28,2024,KT,두산,8.0,7.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-28,2024,LG,삼성,18.0,1.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-28,2024,NC,키움,,,미정,예정,,N,KBO,2026-05-05 13:29:00
2024-03-28,2024,SSG,한화,6.0,10.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-29,2024,두산,KIA,2.0,4.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-29,2024,롯데,NC,3.0,1.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-29,2024,삼성,SSG,4.0,6.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-29,2024,키움,LG,0.0,3.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-29,2024,한화,KT,3.0,2.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-30,2024,두산,KIA,8.0,0.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-30,2024,롯데,NC,0.0,8.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-30,2024,삼성,SSG,6.0,9.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-30,2024,키움,LG,8.0,3.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-30,2024,한화,KT,8.0,5.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-31,2024,두산,KIA,3.0,9.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-31,2024,롯데,NC,7.0,8.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-31,2024,삼성,SSG,3.0,4.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-31,2024,키움,LG,8.0,4.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-03-31,2024,한화,KT,14.0,3.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-02,2024,KT,KIA,10.0,6.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-02,2024,LG,NC,5.0,7.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-02,2024,SSG,두산,13.0,6.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-02,2024,삼성,키움,3.0,8.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-02,2024,한화,롯데,0.0,1.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-03,2024,KT,KIA,1.0,5.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-03,2024,LG,NC,5.0,0.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-03,2024,SSG,두산,5.0,3.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-03,2024,삼성,키움,,,미정,예정,,N,KBO,2026-05-05 13:29:00
2024-04-03,2024,한화,롯데,,,미정,예정,,N,KBO,2026-05-05 13:29:00
2024-04-04,2024,KT,KIA,3.0,6.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-04,2024,LG,NC,8.0,7.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-04,2024,SSG,두산,3.0,2.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-04,2024,삼성,키움,1.0,10.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-04,2024,한화,롯데,6.0,5.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-05,2024,KIA,삼성,5.0,2.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-05,2024,LG,KT,7.0,8.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-05,2024,NC,SSG,5.0,0.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-05,2024,롯데,두산,3.0,4.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-05,2024,키움,한화,11.0,7.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-06,2024,KIA,삼성,4.0,7.0,원정승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-06,2024,LG,KT,8.0,4.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
2024-04-06,2024,NC,SSG,16.0,3.0,홈승,종료,,N,KBO,2026-05-05 13:29:00
