순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,박상준,KIA,0.321,17,63,53,9,17,3,0,2,26,6,0,0,10,0,0,16,0,0.491,0.429,0.920,5,0.188,0.000
2,주효상,KIA,0.300,5,11,10,1,3,0,0,0,3,1,0,0,1,0,0,2,0,0.300,0.364,0.664,0,0.500,0.000
3,한준수,KIA,0.298,58,192,151,20,45,13,0,5,73,20,4,2,31,2,4,25,6,0.483,0.426,0.909,12,0.310,0.333
4,김호령,KIA,0.292,69,290,260,40,76,16,1,10,124,36,5,3,19,1,3,74,3,0.477,0.344,0.821,31,0.233,0.000
5,박정우,KIA,0.290,50,35,31,9,9,0,0,0,9,2,1,0,2,0,1,6,0,0.290,0.353,0.643,1,0.375,0.667
6,나성범,KIA,0.281,66,265,228,37,64,14,0,13,117,35,0,2,30,0,5,73,4,0.513,0.374,0.887,18,0.300,0.000
7,카스트로,KIA,0.278,25,102,97,17,27,9,0,3,45,19,0,1,4,0,0,23,4,0.464,0.304,0.768,8,0.250,0.000
8,김도영,KIA,0.276,70,300,254,50,70,12,1,20,144,57,0,2,39,4,5,46,6,0.567,0.380,0.947,16,0.359,0.000
9,박재현,KIA,0.271,66,256,236,33,64,8,0,8,96,30,6,0,14,0,0,51,2,0.407,0.312,0.719,16,0.345,0.000
10,아데를린,KIA,0.264,32,130,121,17,32,5,0,10,67,31,0,1,7,0,1,25,4,0.554,0.308,0.862,8,0.355,0.000
11,데일,KIA,0.256,34,135,117,20,30,4,0,1,37,6,4,1,13,1,0,14,4,0.316,0.328,0.644,6,0.174,0.500
12,김선빈,KIA,0.256,68,268,227,26,58,13,0,1,74,22,1,1,37,1,2,27,4,0.326,0.363,0.689,16,0.263,0.400
13,김태군,KIA,0.253,38,102,91,9,23,4,0,2,33,7,2,1,6,0,2,15,5,0.363,0.310,0.673,6,0.143,0.000
14,김민규,KIA,0.250,22,29,28,9,7,3,0,0,10,3,0,0,1,0,0,10,0,0.357,0.276,0.633,2,0.167,0.250
15,김규성,KIA,0.243,63,120,103,14,25,4,2,0,33,18,4,2,11,0,0,20,2,0.320,0.310,0.630,3,0.310,0.250
16,한승연,KIA,0.241,19,36,29,8,7,1,0,1,11,2,0,0,5,0,2,11,0,0.379,0.389,0.768,1,0.125,0.167
