순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,김현수,KIA,0.00,1,0,0,0,0,-,2,2,0,1,0,2,0,0,1.50,0,0,0,0,9,39,0.250,0,0,0,0,0,0,0
1,홍건희,KIA,0.00,3,0,0,0,1,-,3,4,0,0,0,2,1,0,1.33,0,0,0,0,14,61,0.286,1,0,0,0,0,0,0
3,곽도규,KIA,1.38,19,1,0,0,5,1.000,13,10,0,6,2,12,2,2,1.23,0,0,0,1,56,222,0.217,1,0,1,1,1,0,0
4,이태양,KIA,1.42,10,1,0,0,3,1.000,12 2/3,8,0,3,1,6,2,2,0.87,0,0,0,0,50,215,0.178,2,0,0,1,0,0,0
5,조상우,KIA,1.57,39,4,1,0,12,0.800,34 1/3,32,1,11,1,23,10,6,1.25,0,0,0,3,145,561,0.250,4,0,3,2,2,1,1
6,올러,KIA,2.36,16,9,5,0,0,0.643,99 1/3,65,8,32,6,108,30,26,0.98,1,1,11,0,394,1510,0.186,8,2,5,1,0,3,0
7,이형범,KIA,3.05,16,0,0,0,0,-,20 2/3,20,3,9,2,13,13,7,1.40,0,0,0,0,92,335,0.250,5,0,1,0,2,1,0
8,한재승,KIA,3.19,35,1,0,0,1,1.000,31,24,3,15,3,20,11,11,1.26,0,0,0,0,130,508,0.214,7,1,0,0,0,2,0
9,성영탁,KIA,3.41,31,2,1,12,3,0.667,34 1/3,35,2,11,0,28,13,13,1.34,0,0,0,3,147,530,0.261,8,0,2,0,2,1,0
10,네일,KIA,3.44,17,5,4,0,0,0.556,99 1/3,90,5,18,11,80,38,38,1.09,0,0,10,0,407,1575,0.241,18,0,3,2,1,1,0
11,양현종,KIA,4.05,15,5,5,0,0,0.500,73 1/3,69,10,36,1,48,38,33,1.43,0,0,1,0,323,1297,0.246,12,1,4,2,0,0,0
12,황동하,KIA,4.37,18,6,3,0,1,0.667,68,67,12,27,3,50,38,33,1.38,0,0,5,0,293,1179,0.256,6,0,0,1,0,1,0
13,장재혁,KIA,4.50,3,0,0,0,0,-,4,3,0,5,0,2,2,2,2.00,0,0,0,0,20,75,0.214,0,0,1,0,0,0,0
14,김태형,KIA,4.86,14,2,2,0,0,0.500,46 1/3,51,9,19,3,25,30,25,1.51,0,0,2,0,205,826,0.280,4,0,0,1,0,2,0
15,시라카와,KIA,4.88,6,2,3,0,0,0.400,27 2/3,24,3,17,1,21,15,15,1.48,0,0,0,0,123,535,0.233,3,0,1,1,0,3,1
16,정해영,KIA,5.02,30,2,1,2,7,0.667,28 2/3,30,2,11,1,22,21,16,1.43,0,0,0,1,126,511,0.268,5,0,2,0,1,1,0
17,김범수,KIA,5.34,42,1,3,1,11,0.250,30 1/3,34,2,25,2,30,19,18,1.95,0,0,0,3,146,607,0.288,4,2,0,1,3,1,0
18,김기훈,KIA,5.40,2,0,0,0,0,-,1 2/3,0,0,4,0,1,1,1,2.40,0,0,0,0,8,44,0.000,0,0,0,1,0,1,0
19,전상현,KIA,5.91,12,1,1,0,4,0.500,10 2/3,12,1,2,1,10,7,7,1.31,0,0,0,1,45,149,0.293,2,0,1,0,0,0,0
20,최지민,KIA,6.10,35,0,0,0,2,-,31,43,5,9,4,26,21,21,1.68,0,0,0,0,147,574,0.328,6,0,2,1,1,0,0
21,김건국,KIA,7.94,6,0,0,0,0,-,5 2/3,6,1,5,0,6,6,5,1.94,0,0,0,0,29,111,0.261,2,0,0,1,0,1,0
22,홍민규,KIA,8.35,15,1,2,0,0,0.333,18 1/3,27,2,7,0,16,17,17,1.85,0,0,0,0,89,312,0.338,9,0,1,1,0,4,0
23,지현,KIA,9.00,3,0,0,0,0,-,4,6,2,3,0,1,4,4,2.25,0,0,0,0,21,82,0.333,1,0,0,0,0,1,0
24,이의리,KIA,9.42,10,1,6,0,0,0.143,35 1/3,41,8,33,1,39,37,37,2.09,0,0,0,0,177,745,0.295,5,2,3,1,0,3,1
25,김시훈,KIA,13.50,2,0,0,0,0,-,2,2,0,2,1,2,3,3,2.00,0,0,0,0,12,41,0.250,2,0,1,0,0,0,0
1,박영현,KT,2.75,32,6,0,16,0,1.000,36,27,3,17,0,35,11,11,1.22,0,0,0,3,151,662,0.209,5,1,2,3,1,3,0
2,로건,KT,3.00,3,0,1,0,0,0.000,18,17,2,5,0,11,6,6,1.22,0,0,2,0,71,244,0.262,0,0,1,0,0,0,0
3,보쉴리,KT,3.16,11,7,3,0,0,0.700,62 2/3,68,3,15,1,56,23,22,1.32,0,0,5,0,268,1000,0.272,10,1,2,0,0,2,0
4,주권,KT,3.55,29,2,0,0,0,1.000,33,35,2,12,2,12,15,13,1.42,0,0,0,0,139,497,0.285,3,1,2,0,1,1,0
5,소형준,KT,3.67,10,3,0,0,0,1.000,54,64,3,12,3,46,26,22,1.41,0,0,5,0,236,915,0.295,15,0,2,2,2,1,0
6,우규민,KT,3.80,28,0,0,0,2,-,23 2/3,30,3,3,1,9,12,10,1.39,0,0,0,0,102,369,0.313,3,0,1,1,0,0,0
7,손동현,KT,3.90,35,3,1,0,4,0.750,32 1/3,27,3,16,2,23,14,14,1.33,0,0,0,2,137,555,0.239,2,1,1,5,1,0,0
8,사우어,KT,4.39,16,6,4,0,0,0.600,92 1/3,87,7,39,12,66,47,45,1.36,0,0,8,0,407,1551,0.251,16,4,2,7,1,12,0
9,고영표,KT,4.43,16,6,6,0,0,0.500,91 1/3,104,10,12,6,95,46,45,1.27,0,0,8,0,391,1473,0.283,19,1,5,1,0,0,0
10,배제성,KT,4.50,7,0,2,0,0,0.000,28,29,1,19,1,25,15,14,1.71,0,0,0,0,131,511,0.274,6,0,1,4,0,2,0
11,전용주,KT,4.99,38,2,2,0,3,0.500,30 2/3,26,0,22,3,29,17,17,1.57,0,0,0,2,140,510,0.234,6,0,2,2,3,3,0
12,스기모토,KT,5.62,40,1,2,0,9,0.333,41 2/3,56,3,10,5,36,33,26,1.58,0,0,0,1,197,734,0.313,6,2,2,1,1,4,0
13,김민수,KT,5.75,33,2,3,1,2,0.400,36,40,4,14,1,33,25,23,1.50,0,0,0,1,162,578,0.280,7,1,3,1,4,3,0
14,김정운,KT,6.00,5,0,0,0,0,-,6,8,2,5,1,4,4,4,2.17,0,0,0,0,31,145,0.333,1,0,0,1,0,0,0
15,오원석,KT,6.11,15,4,6,0,0,0.400,73 2/3,93,8,21,1,70,53,50,1.55,0,0,5,0,326,1275,0.310,15,0,2,2,0,5,0
16,한승혁,KT,6.68,35,3,2,0,10,0.600,32 1/3,39,4,22,0,37,26,24,1.89,0,0,0,4,157,601,0.298,3,2,3,1,1,5,0
