team,team_ops,top5_ops,hr_power,hitter_depth,team_era,ace_era,starter_era,bullpen_era,pitcher_depth,snapshot_date
KIA,0.775,0.8762,93,20,4.08,2.51,3.566,4.689,19,2026-06-28
KT,0.779,0.8728,54,17,4.556,3.16,4.332,4.826,16,2026-06-28
LG,0.7666,0.8782,69,15,4.334,2.88,4.13,4.531,21,2026-06-28
NC,0.7721,0.863,69,19,4.598,3.36,4.007,5.197,23,2026-06-28
SSG,0.7635,0.8342,82,16,5.535,4.42,5.894,5.171,19,2026-06-28
두산,0.7306,0.8188,56,18,3.949,2.57,3.592,4.431,20,2026-06-28
롯데,0.7027,0.7736,59,19,4.496,3.06,4.151,5.008,20,2026-06-28
삼성,0.7853,0.8906,66,17,3.743,2.95,3.705,3.792,16,2026-06-28
키움,0.6307,0.726,45,24,4.921,2.98,3.812,5.868,24,2026-06-28
한화,0.7798,0.8922,87,15,4.427,2.67,3.452,5.329,23,2026-06-28
