순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA
1,박상준,KIA,0.321,17,63,53,9,17,3,0,2,26,6,0,0,10,0,0,16,0,0.491,0.429,0.920,5,0.188,0.000
2,한준수,KIA,0.311,61,207,164,22,51,13,0,5,79,21,4,2,33,2,4,27,7,0.482,0.433,0.915,14,0.314,0.333
3,주효상,KIA,0.300,5,11,10,1,3,0,0,0,3,1,0,0,1,0,0,2,0,0.300,0.364,0.664,0,0.500,0.000
4,나성범,KIA,0.295,69,280,241,41,71,15,0,14,128,41,0,2,32,0,5,74,4,0.531,0.386,0.917,21,0.341,0.000
5,카스트로,KIA,0.288,28,117,111,19,32,10,0,4,54,26,0,2,4,0,0,25,4,0.486,0.308,0.794,10,0.290,0.000
6,김호령,KIA,0.286,72,307,276,41,79,16,1,10,127,37,5,4,19,1,3,81,3,0.460,0.334,0.794,31,0.237,0.000
7,김도영,KIA,0.282,73,316,266,56,75,12,1,20,149,58,0,2,43,6,5,49,6,0.560,0.389,0.949,17,0.358,0.000
8,박재현,KIA,0.273,69,273,253,36,69,8,1,8,103,33,6,0,14,0,0,56,2,0.407,0.311,0.718,18,0.339,0.000
8,박정우,KIA,0.273,53,40,33,11,9,0,0,0,9,4,1,0,5,0,1,6,0,0.273,0.385,0.658,1,0.333,0.667
10,아데를린,KIA,0.264,32,130,121,17,32,5,0,10,67,31,0,1,7,0,1,25,4,0.554,0.308,0.862,8,0.355,0.000
11,김선빈,KIA,0.261,71,281,238,27,62,13,0,1,78,23,1,1,38,1,3,28,4,0.328,0.368,0.696,18,0.258,0.400
12,데일,KIA,0.256,34,135,117,20,30,4,0,1,37,6,4,1,13,1,0,14,4,0.316,0.328,0.644,6,0.174,0.500
13,김태군,KIA,0.253,39,102,91,9,23,4,0,2,33,7,2,1,6,0,2,15,5,0.363,0.310,0.673,6,0.143,0.000
14,김규성,KIA,0.250,66,132,112,16,28,4,2,0,36,21,4,3,13,0,0,22,2,0.321,0.320,0.641,3,0.324,0.250
14,김민규,KIA,0.250,23,29,28,10,7,3,0,0,10,3,0,0,1,0,0,10,0,0.357,0.276,0.633,2,0.167,0.250
16,한승연,KIA,0.241,19,36,29,8,7,1,0,1,11,2,0,0,5,0,2,11,0,0.379,0.389,0.768,1,0.125,0.167
17,오선우,KIA,0.241,20,61,54,6,13,4,0,3,26,6,0,0,7,0,0,16,0,0.481,0.328,0.809,1,0.125,0.400
18,변우혁,KIA,0.233,12,32,30,3,7,1,0,3,17,4,0,0,2,0,0,9,1,0.567,0.281,0.848,1,0.000,0.000
19,박민,KIA,0.222,62,155,135,15,30,4,0,3,43,17,5,0,13,0,2,23,6,0.319,0.300,0.619,7,0.333,0.000
