순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG,2B,3B,SAC,SF,IBB,WP,BK
1,김현수,KIA,0.00,1,0,0,0,0,-,2,2,0,1,0,2,0,0,1.50,0,0,0,0,9,39,0.250,0,0,0,0,0,0,0
2,곽도규,KIA,1.95,36,2,0,1,9,1.000,27 2/3,23,0,12,3,31,6,6,1.27,0,0,0,1,119,462,0.225,3,0,1,1,1,1,0
3,올러,KIA,2.81,27,11,9,0,0,0.550,160 1/3,113,12,53,6,167,54,50,1.04,1,1,19,0,642,2513,0.197,15,3,7,3,0,4,1
4,전상현,KIA,2.83,37,2,1,1,14,0.667,35,29,3,4,2,32,11,11,0.94,0,0,0,2,137,491,0.227,3,0,3,0,0,0,0
5,이태양,KIA,2.87,28,1,0,0,5,1.000,31 1/3,30,2,6,1,23,10,10,1.15,0,0,0,0,128,498,0.254,5,0,1,2,0,0,0
6,성영탁,KIA,2.96,53,3,1,12,7,0.750,51 2/3,50,4,15,1,39,23,17,1.26,0,0,0,3,219,794,0.250,10,0,3,0,2,1,0
7,조상우,KIA,3.25,63,8,4,1,18,0.667,55 1/3,56,3,22,3,37,25,20,1.41,0,0,0,5,244,931,0.272,8,0,10,3,3,1,1
8,네일,KIA,3.57,28,11,7,0,0,0.611,163 2/3,158,12,35,15,137,67,65,1.18,0,0,18,0,684,2578,0.253,28,0,5,4,1,2,0
9,양현종,KIA,4.04,23,11,6,0,0,0.647,111 1/3,104,13,55,3,77,58,50,1.43,0,0,2,0,495,1919,0.242,17,1,4,4,0,1,0
10,시라카와,KIA,4.50,16,4,5,0,0,0.444,76,61,6,43,2,63,39,38,1.37,0,0,2,0,327,1371,0.219,11,0,2,2,0,3,1
10,장재혁,KIA,4.50,4,0,0,0,0,-,6,6,0,5,0,5,3,3,1.83,0,0,0,0,29,110,0.261,0,1,1,0,0,1,0
10,한재승,KIA,4.50,45,1,0,0,1,1.000,42,38,5,22,3,26,22,21,1.43,0,0,0,0,186,726,0.239,9,1,2,0,0,3,0
10,홍건희,KIA,4.50,4,0,0,0,1,-,4,5,1,1,0,2,3,2,1.50,0,0,0,0,19,79,0.278,1,0,0,0,0,0,0
14,황동하,KIA,5.16,24,7,6,0,1,0.538,89,95,17,39,4,64,56,51,1.51,0,0,5,0,396,1578,0.271,9,0,2,1,0,2,0
15,김기훈,KIA,5.40,2,0,0,0,0,-,1 2/3,0,0,4,0,1,1,1,2.40,0,0,0,0,8,44,0.000,0,0,0,1,0,1,0
15,김태형,KIA,5.40,22,3,4,0,0,0.429,70,80,11,31,4,47,50,42,1.59,0,0,2,0,320,1258,0.286,9,0,2,3,0,3,1
17,김범수,KIA,5.92,58,1,3,1,13,0.250,38,50,3,29,3,34,26,25,2.08,0,0,0,4,188,757,0.323,6,2,0,1,3,2,0
18,정해영,KIA,6.23,49,2,1,2,10,0.667,43 1/3,51,6,16,2,36,35,30,1.55,0,0,0,1,197,791,0.290,9,0,3,0,1,1,0
19,김시훈,KIA,6.75,3,0,0,0,0,-,4,5,0,2,1,3,3,3,1.75,0,0,0,0,20,78,0.313,2,0,1,0,0,0,0
20,이의리,KIA,6.94,32,2,9,6,1,0.182,58 1/3,57,9,50,2,68,45,45,1.83,0,0,0,2,279,1194,0.257,8,2,3,2,0,4,1
21,최지민,KIA,7.50,42,1,0,0,2,1.000,36,55,8,12,4,29,31,30,1.86,0,0,0,1,177,695,0.348,8,0,2,1,1,1,0
22,홍민규,KIA,7.59,17,1,2,0,0,0.333,21 1/3,28,2,10,0,18,18,18,1.78,0,0,0,0,102,358,0.311,10,0,1,1,0,4,0
23,김건국,KIA,7.94,6,0,0,0,0,-,5 2/3,6,1,5,0,6,6,5,1.94,0,0,0,0,29,111,0.261,2,0,0,1,0,1,0
