game_date,home_team,away_team,home_score,away_score,home_win,home_starter,away_starter,stadium,status
2026-03-28,LG,KT,7,11,0,,,잠실,종료
2026-03-28,SSG,KIA,7,6,1,,,문학,종료
2026-03-28,삼성,롯데,3,6,0,,,대구,종료
2026-03-28,NC,두산,6,0,1,,,창원,종료
2026-03-28,한화,키움,10,9,1,,,대전,종료
2026-03-29,LG,KT,5,6,0,,,잠실,종료
2026-03-29,SSG,KIA,11,6,1,,,문학,종료
2026-03-29,삼성,롯데,2,6,0,,,대구,종료
2026-03-29,NC,두산,6,9,0,,,창원,종료
2026-03-29,한화,키움,10,4,1,,,대전,종료
2026-03-31,LG,KIA,2,7,0,,,잠실,종료
2026-03-31,SSG,키움,9,3,1,,,문학,종료
2026-03-31,삼성,두산,,,,,,대구,예정
2026-03-31,NC,롯데,9,2,1,,,창원,종료
2026-03-31,한화,KT,4,9,0,,,대전,종료
2026-04-01,LG,KIA,7,2,1,,,잠실,종료
2026-04-01,SSG,키움,2,11,0,,,문학,종료
2026-04-01,삼성,두산,13,3,1,,,대구,종료
2026-04-01,NC,롯데,5,4,1,,,창원,종료
2026-04-01,한화,KT,11,14,0,,,대전,종료
2026-04-02,LG,KIA,2,1,1,,,잠실,종료
2026-04-02,SSG,키움,11,1,1,,,문학,종료
2026-04-02,삼성,두산,5,2,1,,,대구,종료
2026-04-02,NC,롯데,8,4,1,,,창원,종료
2026-04-02,한화,KT,8,13,0,,,대전,종료
2026-04-03,두산,한화,6,11,0,,,잠실,종료
2026-04-03,롯데,SSG,2,17,0,,,사직,종료
2026-04-03,KT,삼성,1,2,0,,,수원,종료
2026-04-03,KIA,NC,2,5,0,,,광주,종료
2026-04-03,키움,LG,5,2,1,,,고척,종료
2026-04-04,두산,한화,3,9,0,,,잠실,종료
2026-04-04,롯데,SSG,6,7,0,,,사직,종료
2026-04-04,KT,삼성,6,8,0,,,수원,종료
2026-04-04,KIA,NC,0,6,0,,,광주,종료
2026-04-04,키움,LG,4,6,0,,,고척,종료
2026-04-05,두산,한화,8,0,1,,,잠실,종료
2026-04-05,롯데,SSG,3,4,0,,,사직,종료
2026-04-05,KT,삼성,2,0,1,,,수원,종료
2026-04-05,KIA,NC,3,0,1,,,광주,종료
2026-04-05,키움,LG,5,6,0,,,고척,종료
2026-04-07,두산,키움,2,5,0,,,잠실,종료
2026-04-07,SSG,한화,2,6,0,,,문학,종료
2026-04-07,롯데,KT,3,7,0,,,사직,종료
2026-04-07,NC,LG,0,2,0,,,창원,종료
2026-04-07,KIA,삼성,3,10,0,,,광주,종료
2026-04-08,두산,키움,7,3,1,,,잠실,종료
2026-04-08,SSG,한화,3,4,0,,,문학,종료
2026-04-08,롯데,KT,6,1,1,,,사직,종료
2026-04-08,NC,LG,4,5,0,,,창원,종료
2026-04-08,KIA,삼성,15,5,1,,,광주,종료
2026-04-09,두산,키움,,,,,,잠실,예정
2026-04-09,SSG,한화,,,,,,문학,예정
2026-04-09,롯데,KT,,,,,,사직,예정
2026-04-09,NC,LG,,,,,,창원,예정
2026-04-09,KIA,삼성,,,,,,광주,예정
2026-04-10,LG,SSG,10,2,1,,,잠실,종료
2026-04-10,삼성,NC,8,5,1,,,대구,종료
2026-04-10,KT,두산,7,8,0,,,수원,종료
2026-04-10,키움,롯데,1,3,0,,,고척,종료
2026-04-10,한화,KIA,5,6,0,,,대전,종료
2026-04-11,한화,KIA,5,6,0,,,대전,종료
2026-04-11,LG,SSG,4,3,1,,,잠실,종료
2026-04-11,삼성,NC,5,4,1,,,대구,종료
2026-04-11,KT,두산,6,4,1,,,수원,종료
2026-04-11,키움,롯데,1,3,0,,,고척,종료
2026-04-12,LG,SSG,9,1,1,,,잠실,종료
2026-04-12,삼성,NC,9,3,1,,,대구,종료
2026-04-12,KT,두산,6,1,1,,,수원,종료
2026-04-12,키움,롯데,2,0,1,,,고척,종료
2026-04-12,한화,KIA,3,9,0,,,대전,종료
2026-04-14,LG,롯데,2,1,1,,,잠실,종료
2026-04-14,SSG,두산,3,11,0,,,문학,종료
2026-04-14,NC,KT,7,4,1,,,창원,종료
2026-04-14,KIA,키움,6,2,1,,,광주,종료
2026-04-14,한화,삼성,5,6,0,,,대전,종료
2026-04-15,LG,롯데,0,2,0,,,잠실,종료
2026-04-15,SSG,두산,6,0,1,,,문학,종료
2026-04-15,NC,KT,2,10,0,,,창원,종료
2026-04-15,KIA,키움,7,5,1,,,광주,종료
2026-04-15,한화,삼성,5,13,0,,,대전,종료
2026-04-16,LG,롯데,7,4,1,,,잠실,종료
2026-04-16,SSG,두산,2,1,1,,,문학,종료
2026-04-16,NC,KT,3,4,0,,,창원,종료
2026-04-16,KIA,키움,5,1,1,,,광주,종료
2026-04-16,한화,삼성,1,6,0,,,대전,종료
2026-04-17,두산,KIA,,,,,,잠실,예정
2026-04-17,롯데,한화,,,,,,사직,예정
2026-04-17,삼성,LG,,,,,,대구,예정
2026-04-17,NC,SSG,,,,,,창원,예정
2026-04-17,KT,키움,,,,,,수원,예정
2026-04-18,삼성,LG,,,,,,대구,예정
2026-04-18,두산,KIA,,,,,,잠실,예정
2026-04-18,롯데,한화,,,,,,사직,예정
2026-04-18,NC,SSG,,,,,,창원,예정
2026-04-18,KT,키움,,,,,,수원,예정
2026-04-19,두산,KIA,,,,,,잠실,예정
2026-04-19,롯데,한화,,,,,,사직,예정
2026-04-19,삼성,LG,,,,,,대구,예정
2026-04-19,NC,SSG,,,,,,창원,예정
2026-04-19,KT,키움,,,,,,수원,예정
2026-04-21,LG,한화,,,,,,잠실,예정
2026-04-21,롯데,두산,,,,,,사직,예정
2026-04-21,삼성,SSG,,,,,,대구,예정
2026-04-21,KT,KIA,,,,,,수원,예정
2026-04-21,키움,NC,,,,,,고척,예정
2026-04-22,LG,한화,,,,,,잠실,예정
2026-04-22,롯데,두산,,,,,,사직,예정
2026-04-22,삼성,SSG,,,,,,대구,예정
2026-04-22,KT,KIA,,,,,,수원,예정
2026-04-22,키움,NC,,,,,,고척,예정
2026-04-23,LG,한화,,,,,,잠실,예정
2026-04-23,롯데,두산,,,,,,사직,예정
2026-04-23,삼성,SSG,,,,,,대구,예정
2026-04-23,KT,KIA,,,,,,수원,예정
2026-04-23,키움,NC,,,,,,고척,예정
2026-04-24,두산,LG,,,,,,잠실,예정
2026-04-24,SSG,KT,,,,,,문학,예정
2026-04-24,KIA,롯데,,,,,,광주,예정
2026-04-24,키움,삼성,,,,,,고척,예정
2026-04-24,한화,NC,,,,,,대전,예정
2026-04-25,두산,LG,,,,,,잠실,예정
2026-04-25,SSG,KT,,,,,,문학,예정
2026-04-25,KIA,롯데,,,,,,광주,예정
2026-04-25,키움,삼성,,,,,,고척,예정
2026-04-25,한화,NC,,,,,,대전,예정
2026-04-26,두산,LG,,,,,,잠실,예정
2026-04-26,SSG,KT,,,,,,문학,예정
2026-04-26,KIA,롯데,,,,,,광주,예정
2026-04-26,키움,삼성,,,,,,고척,예정
2026-04-26,한화,NC,,,,,,대전,예정
2026-04-28,두산,삼성,,,,,,잠실,예정
2026-04-28,롯데,키움,,,,,,사직,예정
2026-04-28,NC,KIA,,,,,,창원,예정
2026-04-28,KT,LG,,,,,,수원,예정
2026-04-28,한화,SSG,,,,,,대전,예정
2026-04-29,두산,삼성,,,,,,잠실,예정
2026-04-29,롯데,키움,,,,,,사직,예정
